Full Name; Short Name; Last Update Date; Github ID; Paradox ID; Steam ID; 
Demand Tribute; DT; 2025.09.09; ; 108043; 3473488611; 
Ethnicities & Portraits Expanded; EPE; 2025.06.09; ; ; 2507209632; 
MBP + EPE + CFP Compatch; MBP + EPE + CFP; 2025.09.10; ; ; 2543865921; 
More Bookmarks Plus; MBP; 2025.09.10; Leviathonlx/MoreBookmarks-Plus; ; 2262523658; 
Regional Immersion and Cultural Enrichment; RICE; 2025.07.04; cybrxkhan/RICE-for-CK3; 15338; 2273832430; 
Special World Building Compatch; SBC; 2025.09.01; ; ; 2875587269; 
Unofficial Patch; UP; 2025.09.11; ; 54145; 2871648329; 
